timestamp,tool,scenario,iteration,phase,duration_ms,exit_code
2025-12-24T16:06:15.2841982Z,pytest_testcontainers,S6,17,measured,24740,0
2025-12-24T16:06:39.8576769Z,pytest_testcontainers,S6,18,measured,24573,0
2025-12-24T16:07:04.2883667Z,pytest_testcontainers,S6,19,measured,24430,0
2025-12-24T16:07:28.8672071Z,pytest_testcontainers,S6,20,measured,24578,0
2025-12-24T16:08:06.3109766Z,dbt,S6,1,measured,30555,0
2025-12-24T16:08:41.6462311Z,dbt,S6,2,measured,35327,0
2025-12-24T16:09:12.8910085Z,dbt,S6,3,measured,31244,0
2025-12-24T16:09:43.1891798Z,dbt,S6,4,measured,30297,0
2025-12-24T16:10:12.7719464Z,dbt,S6,5,measured,29582,0
2025-12-24T16:10:42.3288154Z,dbt,S6,6,measured,29556,0
2025-12-24T16:11:11.9091726Z,dbt,S6,7,measured,29579,0
2025-12-24T16:11:42.2126380Z,dbt,S6,8,measured,30302,0
2025-12-24T16:12:12.8084693Z,dbt,S6,9,measured,30595,0
2025-12-24T16:12:45.4381159Z,dbt,S6,10,measured,32629,0
2025-12-24T16:13:17.2580616Z,dbt,S6,11,measured,31819,0
2025-12-24T16:13:49.0711129Z,dbt,S6,12,measured,31811,0
2025-12-24T16:14:18.9020482Z,dbt,S6,13,measured,29830,0
2025-12-24T16:14:50.7885567Z,dbt,S6,14,measured,31885,0
2025-12-24T16:15:20.6790409Z,dbt,S6,15,measured,29890,0
2025-12-24T16:15:50.4912060Z,dbt,S6,16,measured,29810,0
2025-12-24T16:16:19.9246839Z,dbt,S6,17,measured,29433,0
2025-12-24T16:16:52.1444048Z,dbt,S6,18,measured,32219,0
2025-12-24T16:17:21.8855782Z,dbt,S6,19,measured,29739,0
2025-12-24T16:17:51.8503859Z,dbt,S6,20,measured,29963,0
2025-12-24T16:18:10.4219952Z,sql_test_kit,S6,1,measured,16185,0
2025-12-24T16:18:26.5374639Z,sql_test_kit,S6,2,measured,16109,0
2025-12-24T16:18:42.5609546Z,sql_test_kit,S6,3,measured,16022,0
2025-12-24T16:18:58.7502697Z,sql_test_kit,S6,4,measured,16188,0
2025-12-24T16:19:14.8597590Z,sql_test_kit,S6,5,measured,16109,0
2025-12-24T16:19:30.9913759Z,sql_test_kit,S6,6,measured,16130,0
2025-12-24T16:19:46.9852480Z,sql_test_kit,S6,7,measured,15993,0
2025-12-24T16:20:03.2309672Z,sql_test_kit,S6,8,measured,16244,0
2025-12-24T16:20:19.3670435Z,sql_test_kit,S6,9,measured,16135,0
2025-12-24T16:20:35.5577781Z,sql_test_kit,S6,10,measured,16189,0
2025-12-24T16:20:51.6120473Z,sql_test_kit,S6,11,measured,16053,0
2025-12-24T16:21:07.8299383Z,sql_test_kit,S6,12,measured,16217,0
2025-12-24T16:21:23.9523220Z,sql_test_kit,S6,13,measured,16121,0
2025-12-24T16:21:40.1011640Z,sql_test_kit,S6,14,measured,16147,0
2025-12-24T16:21:56.1409846Z,sql_test_kit,S6,15,measured,16039,0
2025-12-24T16:22:12.2898284Z,sql_test_kit,S6,16,measured,16148,0
2025-12-24T16:22:28.2175511Z,sql_test_kit,S6,17,measured,15926,0
2025-12-24T16:22:44.3599521Z,sql_test_kit,S6,18,measured,16142,0
2025-12-24T16:23:00.3293024Z,sql_test_kit,S6,19,measured,15968,0
2025-12-24T16:23:16.3613306Z,sql_test_kit,S6,20,measured,16031,0
